Santa Monica Police Department, CA,6
Pittsylvania County Sheriff's Office, VA,6
Florida State Road Department - State Convict Road Force, FL,6
Fulton County Police Department, GA,6
Southern Pines Police Department, NC,6
Gastonia Police Department, NC,6
Fort Myers Police Department, FL,6
Warren County Sheriff's Office, MS,6
Lansing Police Department, MI,6
Washington State Department of Corrections, WA,6
United States Department of the Treasury - Bureau of Narcotics, US,6
Kentucky Highway Patrol, KY,6
Jefferson County Sheriff's Office, CO,6
Athens Police Department, AL,6
Pierce County Sheriff's Department, WA,6
Niagara County Sheriff's Office, NY,6
 Sr.",6
Lubbock Police Department, TX,6
Georgia Bureau of Investigation, GA,6
Chesterfield County Police Department, VA,6
Laurens County Sheriff's Office, SC,6
Wisconsin State Patrol, WI,6
United States Naval Criminal Investigative Service, US,6
Chesapeake Police Department, VA,6
Fairfax County Police Department, VA,6
New York State Division of Parole, NY,6
United States General Services Administration - Federal Protective Service, US,6
United States Department of the Treasury - Customs Service - Office of Investigations, US,6
Charlotte-Mecklenburg Police Department, NC,6
Florida Fish and Wildlife Conservation Commission, FL,6
Connecticut Department of Correction, CT,5
Fall River Police Department, MA,5
Cambridge Police Department, MA,5
Collin County Sheriff's Office, TX,5
Mono County Sheriff's Office, CA,5
Uvalde County Sheriff's Office, TX,5
Jackson County Sheriff's Department, TX,5
Denison Police Department, TX,5
Anderson County Sheriff's Department, TX,5
Robertson County Sheriff's Department, TX,5
Utah Department of Corrections, UT,5
Quincy Police Department, IL,5
Independence Police Department, MO,5
Trinity County Sheriff's Office, TX,5
Inyo County Sheriff's Department, CA,5
Missoula County Sheriff's Department, MT,5
Henderson County Sheriff's Department, TX,5
Crittenden County Sheriff's Department, AR,5
Grayson County Sheriff's Office, TX,5
McLean County Sheriff's Department, IL,5
Wake County Sheriff's Office, NC,5
Valdosta Police Department, GA,5
Wharton County Sheriff's Department, TX,5
Wright County Sheriff's Office, MN,5
Fannin County Sheriff's Office, TX,5
Gonzales County Sheriff's Department, TX,5
San Mateo County Sheriff's Office, CA,5
Stevens County Sheriff's Office, KS,5
Oceanside Police Department, CA,5
Marion County Sheriff's Department, TX,5
Pierce City Police Department, MO,5
Nassau County Sheriff's Office, FL,5
Chillicothe Police Department, OH,5
Bowie County Sheriff's Department, TX,5
Whitley County Sheriff's Department, KY,5
Hopkinsville Police Department, KY,5
Henry County Sheriff's Department, TN,5
Volusia County Sheriff's Office, FL,5
Great Falls Police Department, MT,5
Owensboro Police Department, KY,5
Cook County Sheriff's Office - Department of Court Services, IL,5
Clay County Sheriff's Office, KY,5
Northern Pacific Railroad Police Department, RR,5
Warwick Police Department, RI,5
Lima Police Department, OH,5
Eagle Lake Police Department, TX,5
Bristol Police Department, TN,5
North Vernon Police Department, IN,5
Loudon County Sheriff's Department, TN,5
East Orange Police Department, NJ,5
Troy Police Department, AL,5
Denver Sheriff's Department, CO,5
Jackson Police Department, MI,5
Nacogdoches County Sheriff's Office, TX,5
Falls County Sheriff's Department, TX,5
Newton Police Department, MA,5
Val Verde County Sheriff's Office, TX,5
Cheyenne Police Department, WY,5
Owsley County Sheriff's Office, KY,5
Pennsylvania State Constable - Allegheny County, PA,5
Shawnee Police Department, OK,5
Tipton County Sheriff's Office, TN,5
Quincy Police Department, MA,5
Niagara Falls Police Department, NY,5
